规格,价格,店铺名称
I3-13100 4核3.4GHz+16G内存丨256G+2T丨T400-4G,￥6466.00,博商服务器工作站专营店
I3-13100 4核3.4GHz+16G内存丨512G+2T丨RTXA2000-6G,￥9014.00,博商服务器工作站专营店
I3-13100 4核3.4GHz+32G内存丨512G+4T丨RTX3060-12G,￥9499.00,博商服务器工作站专营店
I3-13100 4核3.4GHz+32G内存丨1TB固态丨RTX4060-8G,￥18599.00,博商服务器工作站专营店
I3-13100 4核3.4GHz+32G丨512G+8T丨RTXA4000-16G,￥13033.00,博商服务器工作站专营店
I3-13100 4核3.4GHz+64G内存丨1T+4T丨RTX4080S-16G,￥20599.00,博商服务器工作站专营店
I3-13100 4核3.4GHz+64G内存丨1T固态+8T丨RTX4090-24G,￥30699.00,博商服务器工作站专营店
I3-13100 4核3.4GHz+128G内存丨2T丨RTX5880Ada-48G,￥63599.00,博商服务器工作站专营店
I3-13100 4核3.4GHz+128G丨2T+12T丨RTXA6000-48G,￥78399.00,博商服务器工作站专营店
I7-13700K 16核3.4GHz+16G内存丨256G固态丨集显,￥7839.00,博商服务器工作站专营店
I7-13700K 16核3.4GHz+16G内存丨512G+2T丨RTXA2000-6G,￥12199.00,博商服务器工作站专营店
I7-13700K 16核3.4GHz+32G内存丨512G+4T丨RTX3060-12G,￥12399.00,博商服务器工作站专营店
I7-13700K 16核3.4GHz+32G内存丨1TB固态丨RTX4060-8G,￥21699.00,博商服务器工作站专营店
I7-13700K 16核3.4GHz+32G丨512G+8T丨RTXA4000-16G,￥16499.00,博商服务器工作站专营店
I7-13700K 16核3.4GHz+64G内存丨1T+4T丨RTX4080S-16G,￥23699.00,博商服务器工作站专营店
I7-13700K 16核3.4GHz+64G内存丨1T固态+8T丨RTX4090-24G,￥33599.00,博商服务器工作站专营店
I7-13700K 16核3.4GHz+128G内存丨2T丨RTX5880Ada-48G,￥66199.00,博商服务器工作站专营店
I7-13700K 16核3.4GHz+128G丨2T+12T丨RTXA6000-48G,￥81599.00,博商服务器工作站专营店
I9-13900K 24核3.0GHz+16G内存丨256G固态丨集显,￥9199.00,博商服务器工作站专营店
I9-13900K 24核3.0GHz+16G内存丨512G+2T丨RTXA2000-6G,￥13499.00,博商服务器工作站专营店
I9-13900K 24核3.0GHz+32G内存丨512G+4T丨RTX3060-12G,￥14199.00,博商服务器工作站专营店
I9-13900K 24核3.0GHz+32G内存丨1TB固态丨RTX4060-8G,￥23199.00,博商服务器工作站专营店
I9-13900K 24核3.0GHz+32G丨512G+8T丨RTXA4000-16G,￥18199.00,博商服务器工作站专营店
I9-13900K 24核3.0GHz+64G内存丨1T+4T丨RTX4080S-16G,￥25199.00,博商服务器工作站专营店
I9-13900K 24核3.0GHz+64G内存丨1T固态+8T丨RTX4090-24G,￥35199.00,博商服务器工作站专营店
I9-13900K 24核3.0GHz+128G内存丨2T丨RTX5880Ada-48G,￥68199.00,博商服务器工作站专营店
I9-13900K 24核3.0GHz+128G丨2T+12T丨RTXA6000-48G,￥83199.00,博商服务器工作站专营店
【DDR4 3200】普条 常规办公款+16GB 1条,￥599.00,金百达京东自营旗舰店
【DDR4 2666】黑爵 Intel专用+8GB 1条,组合价￥暂无报价,金百达京东自营旗舰店
